X,Y,medidor,circuito,anom_s_lec,anom_c_lec,comentario,lat y,lon x,icon_url
-100.19574,25.72993,m042u1,LAF04145,NA,NA,na,25.729930000000000,-100.195740000000001,./0.png
-100.19605,25.72771,m077u3,LAF04145,NA,NA,na,25.727709999999998,-100.196050000000000,./0.png
-100.19542,25.72839,m091e2,LAF04145,NA,NA,na,25.728390000000001,-100.195419999999999,./0.png
-100.19561,25.7288,m093e5,LAF04145,NA,C5-SinSello,na,25.728800000000000,-100.195610000000002,./0.png
-100.19604,25.71785,m0l428,LAF04145,NA,NA,ok,25.717849999999999,-100.196039999999996,./0.png
-100.19142,25.72291,m0l520,LAF04145,NA,C5-SinSello,na,25.722909999999999,-100.191419999999994,./0.png
-100.20105,25.72585,m0m405,LAF04145,NA,NA,ok,25.725850000000001,-100.201049999999995,./0.png
-100.19413,25.71467,m0p976,LAF04145,NA,NA,ok,25.714670000000002,-100.194130000000001,./0.png
-100.20169,25.72058,m122mb,LAF04145,NA,NA,ok,25.720580000000002,-100.201689999999999,./0.png
-100.1973,25.71603,m14e88,LAF04145,NA,C5-SinSello,interior,25.716030000000000,-100.197299999999998,./0.png
-100.20428,25.72007,m174me,LAF04145,NA,NA,ok,25.720070000000000,-100.204279999999997,./0.png
-100.20098,25.72366,m186mb,LAF04145,NA,NA,ok,25.723659999999999,-100.200980000000001,./0.png
-100.19477,25.72614,m1l113,LAF04145,NA,NA,na,25.726140000000001,-100.194770000000005,./0.png
-100.18811,25.72154,m202gw,LAF04145,NA,NA,na,25.721540000000001,-100.188109999999995,./0.png
-100.2125,25.72225,m202lk,LAF04145,NA,NA,ok mt,25.722249999999999,-100.212500000000006,./0.png
